,Xiaogan,Huanggang,Suizhou,Jingzhou,Xiangyang,Huangshi,Ezhou,Yichang,Jingmen,Xianning,Shiyan,Chongqing,Wenzhou,Xiantao,Shenzhen,Beijing,Guangzhou,Shanghai,Tianmen,Xinyang,Changsha,Nanchang,Enshi,Hangzhou,Ningbo,Hefei,Haerbin,Taizhou,Nanyang,Bengbu,Yueyang,Fuyang,Zhengzhou,Zhumadian,Chengdu,Shangrao,Xinyu,Xian,Tianjin,Jiujiang,Bozhou,Shaoyang,Qianjiang,Zhuhai,Shangqiu,Nanjing,Yichun,Anqing,Suzhou,Foshan
2018/12/19,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/20,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/21,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/22,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/23,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/24,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/25,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/26,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/27,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
2018/12/28,23051.6,18200.4,4885.1,8557,5946.3,7431.3,9054.9,4525.3,5011.8,9376.1,2244.2,1312.4,396.1,4268.4,1736.9,2622.2,1957.9,2545.6,2127.4,2146.8,2632.2,929.1,1936.7,952.7,374.4,974.5,240.6,202.8,667.6,99.2,864.8,317.2,1464.4,740.9,937.4,149.8,52.2,742.2,445,859.4,104.5,102.5,2573.7,223.8,235.9,1012.2,203.6,359.7,744.8,371.3
