,Xiaogan,Huanggang,Suizhou,Jingzhou,Xiangyang,Huangshi,Ezhou,Yichang,Jingmen,Xianning,Shiyan,Chongqing,Wenzhou,Xiantao,Shenzhen,Beijing,Guangzhou,Shanghai,Tianmen,Xinyang,Changsha,Nanchang,Enshi,Hangzhou,Ningbo,Hefei,Haerbin,Taizhou,Nanyang,Bengbu,Yueyang,Fuyang,Zhengzhou,Zhumadian,Chengdu,Shangrao,Xinyu,Xian,Tianjin,Jiujiang,Bozhou,Shaoyang,Qianjiang,Zhuhai,Shangqiu,Nanjing,Yichun,Anqing,Suzhou,Foshan
2018/12/19,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/20,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/21,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/22,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/23,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/24,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/25,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/26,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/27,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
2018/12/28,19544.2,15310.1,3719.6,8205.1,5438.8,5915.3,8007.8,4375.1,4299.8,8420.4,2463.4,1520.3,335,3542.6,1849.5,3046,1878.8,2592.2,2064.4,1759.2,2513,1205.6,2246.4,1026.3,391.4,1175.8,240.4,177.9,661.6,99.1,809.2,343.6,1613.4,712.8,986.3,198.2,58.3,736.1,435.2,892.1,117.3,122.9,2503.8,249.8,262.2,1070.9,225.8,381.8,734.5,374.1
