name,Total,Used,Available,Date
1,684,552,132,2020/2/25
1,322,112,210,2020/2/25
1,378,282,96,2020/2/25
1,504,362,142,2020/2/25
1,420,393,27,2020/2/25
1,268,224,44,2020/2/25
1,793,691,102,2020/2/25
1,404,328,76,2020/2/25
1,619,386,233,2020/2/25
1,181,154,27,2020/2/25
1,510,543,0,2020/2/25
1,600,456,144,2020/2/25
1,1050,937,113,2020/2/25
1,810,714,96,2020/2/25
1,800,669,131,2020/2/25
1,950,489,461,2020/2/25
1,400,360,40,2020/2/25
1,500,312,188,2020/2/25
1,400,336,64,2020/2/25
1,305,250,55,2020/2/25
1,411,390,21,2020/2/25
1,260,232,28,2020/2/25
1,300,198,102,2020/2/25
1,288,138,150,2020/2/25
1,26,22,4,2020/2/25
1,690,334,356,2020/2/25
1,240,224,16,2020/2/25
1,1020,964,56,2020/2/25
1,1396,1042,354,2020/2/25
1,262,257,5,2020/2/25
1,828,752,76,2020/2/25
1,255,139,116,2020/2/25
1,80,80,0,2020/2/25
1,135,123,12,2020/2/25
1,451,410,41,2020/2/25
1,1000,1020,0,2020/2/25
1,430,249,181,2020/2/25
1,1009,1027,0,2020/2/25
1,850,814,36,2020/2/25
1,240,186,54,2020/2/25
1,235,219,16,2020/2/25
1,260,209,51,2020/2/25
1,262,223,39,2020/2/25
1,600,299,301,2020/2/25
1,619,386,233,2020/2/25
1,300,180,120,2020/2/25
1,233,119,114,2020/2/25
1,800,639,161,2020/2/25
1,684,569,115,2020/2/24
1,322,116,206,2020/2/24
1,378,311,67,2020/2/24
1,504,383,121,2020/2/24
1,420,407,13,2020/2/24
1,268,228,40,2020/2/24
1,793,706,87,2020/2/24
1,404,324,80,2020/2/24
1,619,376,243,2020/2/24
1,207,159,48,2020/2/24
1,510,535,0,2020/2/24
1,600,450,150,2020/2/24
1,1050,946,104,2020/2/24
1,810,729,81,2020/2/24
1,800,691,109,2020/2/24
1,950,477,473,2020/2/24
1,400,369,31,2020/2/24
1,500,335,165,2020/2/24
1,400,349,51,2020/2/24
1,305,221,84,2020/2/24
1,411,400,11,2020/2/24
1,260,239,21,2020/2/24
1,300,199,101,2020/2/24
1,288,152,136,2020/2/24
1,26,12,14,2020/2/24
1,610,356,254,2020/2/24
1,240,228,12,2020/2/24
1,1020,1008,12,2020/2/24
1,1180,1052,128,2020/2/24
1,262,256,6,2020/2/24
1,828,771,57,2020/2/24
1,255,151,104,2020/2/24
1,89,89,0,2020/2/24
1,135,124,11,2020/2/24
1,451,410,41,2020/2/24
1,1000,1029,0,2020/2/24
1,430,265,165,2020/2/24
1,1026,1026,0,2020/2/24
1,808,792,16,2020/2/24
1,240,189,51,2020/2/24
1,235,222,13,2020/2/24
1,260,214,46,2020/2/24
1,262,226,36,2020/2/24
1,600,299,301,2020/2/24
1,59,40,19,2020/2/24
1,300,156,144,2020/2/24
1,233,123,110,2020/2/24
1,800,566,234,2020/2/24
1,684,592,92,2020/2/23
1,242,130,112,2020/2/23
1,378,322,56,2020/2/23
1,504,385,119,2020/2/23
1,420,414,6,2020/2/23
1,268,219,49,2020/2/23
1,793,717,76,2020/2/23
1,404,315,89,2020/2/23
1,619,372,247,2020/2/23
1,181,168,13,2020/2/23
1,542,542,0,2020/2/23
1,600,470,130,2020/2/23
1,1050,974,76,2020/2/23
1,810,750,60,2020/2/23
1,800,701,99,2020/2/23
1,950,489,461,2020/2/23
1,400,373,27,2020/2/23
1,500,360,140,2020/2/23
1,400,361,39,2020/2/23
1,305,231,74,2020/2/23
1,411,397,14,2020/2/23
1,260,238,22,2020/2/23
1,300,204,96,2020/2/23
1,288,152,136,2020/2/23
1,26,8,18,2020/2/23
1,690,369,321,2020/2/23
1,240,218,22,2020/2/23
1,1020,966,54,2020/2/23
1,1059,1059,0,2020/2/23
1,262,250,12,2020/2/23
1,828,785,43,2020/2/23
1,255,144,111,2020/2/23
1,94,94,0,2020/2/23
1,135,122,13,2020/2/23
1,451,416,35,2020/2/23
1,1047,1047,0,2020/2/23
1,430,300,130,2020/2/23
1,1016,941,75,2020/2/23
1,808,794,14,2020/2/23
1,240,187,53,2020/2/23
1,235,211,24,2020/2/23
1,251,212,39,2020/2/23
1,262,218,44,2020/2/23
1,600,298,302,2020/2/23
1,44,36,8,2020/2/23
1,300,222,78,2020/2/23
1,233,124,109,2020/2/23
1,800,438,362,2020/2/23
1,684,589,95,2020/2/22
1,242,135,107,2020/2/22
1,378,334,44,2020/2/22
1,504,386,118,2020/2/22
1,420,425,0,2020/2/22
1,268,230,38,2020/2/22
1,405,341,64,2020/2/22
1,400,318,82,2020/2/22
1,619,424,195,2020/2/22
1,178,170,8,2020/2/22
1,510,534,0,2020/2/22
1,600,509,91,2020/2/22
1,1050,1013,37,2020/2/22
1,810,745,65,2020/2/22
1,800,732,68,2020/2/22
1,950,480,470,2020/2/22
1,380,392,0,2020/2/22
1,500,363,137,2020/2/22
1,400,364,36,2020/2/22
1,305,259,46,2020/2/22
1,411,403,8,2020/2/22
1,260,232,28,2020/2/22
1,300,227,73,2020/2/22
1,288,159,129,2020/2/22
1,26,12,14,2020/2/22
1,376,238,138,2020/2/22
1,280,273,7,2020/2/22
1,1008,1008,0,2020/2/22
1,1180,962,218,2020/2/22
1,266,228,38,2020/2/22
1,828,801,27,2020/2/22
1,255,163,92,2020/2/22
1,91,91,0,2020/2/22
1,135,126,9,2020/2/22
1,451,438,13,2020/2/22
1,1000,1049,0,2020/2/22
1,430,319,111,2020/2/22
1,900,876,24,2020/2/22
1,808,795,13,2020/2/22
1,240,185,55,2020/2/22
1,235,210,25,2020/2/22
1,251,204,47,2020/2/22
1,262,240,22,2020/2/22
1,600,297,303,2020/2/22
1,44,36,8,2020/2/22
1,300,266,34,2020/2/22
1,233,128,105,2020/2/22
1,820,390,430,2020/2/22
1,684,592,92,2020/2/21
1,122,133,0,2020/2/21
1,378,342,36,2020/2/21
1,504,396,108,2020/2/21
1,420,428,0,2020/2/21
1,268,248,20,2020/2/21
1,405,351,54,2020/2/21
1,400,318,82,2020/2/21
1,619,498,121,2020/2/21
1,152,101,51,2020/2/21
1,510,496,14,2020/2/21
1,600,533,67,2020/2/21
1,1050,1008,42,2020/2/21
1,810,741,69,2020/2/21
1,800,730,70,2020/2/21
1,950,496,454,2020/2/21
1,380,389,0,2020/2/21
1,500,375,125,2020/2/21
1,200,225,0,2020/2/21
1,305,268,37,2020/2/21
1,411,405,6,2020/2/21
1,200,225,0,2020/2/21
1,300,234,66,2020/2/21
1,288,189,99,2020/2/21
1,26,12,14,2020/2/21
1,371,286,85,2020/2/21
1,280,271,9,2020/2/21
1,1005,1005,0,2020/2/21
1,977,977,0,2020/2/21
1,226,216,10,2020/2/21
1,828,812,16,2020/2/21
1,255,162,93,2020/2/21
1,86,86,0,2020/2/21
1,135,121,14,2020/2/21
1,451,442,9,2020/2/21
1,1000,1056,0,2020/2/21
1,430,321,109,2020/2/21
1,900,876,24,2020/2/21
1,808,805,3,2020/2/21
1,263,185,78,2020/2/21
1,235,208,27,2020/2/21
1,251,251,0,2020/2/21
1,262,241,21,2020/2/21
1,350,323,27,2020/2/21
1,44,22,22,2020/2/21
1,300,289,11,2020/2/21
1,233,145,88,2020/2/21
1,750,170,580,2020/2/21
1,684,647,37,2020/2/20
1,122,139,0,2020/2/20
1,378,351,27,2020/2/20
1,504,408,96,2020/2/20
1,420,437,0,2020/2/20
1,268,262,6,2020/2/20
